1,1,"I'll get you through thestorm. And after the storm, I'll get you through the fallout, and after the fallout, I'll get you through the recovery."
1,3,"Blessed be God, even the Father of our Lord Jesus Christ, the Father of mercies, and the God of all comfort;"
1,4,"Who comforteth us in all our tribulation, that we may be able to comfort them which are in any trouble, by the comfort wherewith we ourselves are comforted of God."
1,10,"Who delivered us from so great a death, and doth deliver: in whom we trust that he will yet deliver us;"
2,14,"Now thanks be unto God, which always causeth us to triumph in Christ, and maketh manifest the savour of his knowledge by us in every place."
3,17,"Now the Lord is that Spirit: and where the Spirit of the Lord is, there is liberty."
4,7,"But we have this treasure in earthen vessels, that the excellency of the power may be of God, and not of us."
4,17,"For our light affliction, which is but for a moment, worketh for us a far more exceeding and eternal weight of glory;"
4,18,"While we look not at the things which are seen, but at the things which are not seen: for the things which are seen are temporal; but the things which are not seen are eternal."
5,7,"(For we walk by faith, not by sight:)"
5,21,"For he hath made him to be sin for us, who knew no sin; that we might be made the righteousness of God in him."
6,10,"As sorrowful, yet alway rejoicing; as poor, yet making many rich; as having nothing, and yet possessing all things."
7,1,"Having therefore these promises, dearly beloved, let us cleanse ourselves from all filthiness of the flesh and spirit, perfecting holiness in the fear of God."
11,24,"Of the Jews five times received I forty stripes save one."
12,9,"And he said unto me, My grace is sufficient for thee: for my strength is made perfect in weakness. Most gladly therefore will I rather glory in my infirmities, that the power of Christ may rest upon me."
12,10,"Therefore I take pleasure in infirmities, in reproaches, in necessities, in persecutions, in distresses for Christ's sake: for when I am weak, then am I strong."