1,3,"And he said unto me, Son of man, I send thee to the children of Israel, to a rebellious nation that hath rebelled against me:"
1,4,"And they shall reprove thee; but thou shalt not reprove them; for they are a rebellious house:"
2,3,"And he said unto me, Son of man, I do send thee to the children of Israel, to a rebellious nation that hath rebelled against me:"
4,17,"Moreover he said unto me, Son of man, behold, I will break the staff of bread in Jerusalem: and they shall eat bread by weight, and with care; and they shall drink water by measure, and with astonishment:"
5,11,"Wherefore, as I live, saith the Lord GOD; Surely, because thou hast defiled my sanctuary with all thy detestable things, and with all thine abominations, therefore will I also diminish thee; neither shall mine eye spare, neither will I have any pity:"
6,3,"And say, Ye mountains of Israel, hear the word of the Lord GOD; Thus saith the Lord GOD to the mountains, and to the hills, to the rivers, and to the valleys; Behold, I, even I, will bring a sword upon you, and I will destroy your high places:"
7,19,"They shall cast their silver in the streets, and their gold shall be removed: their silver and their gold shall not be able to deliver them in the day of the wrath of the LORD:"
8,1,"And it came to pass in the sixth year, in the sixth month, in the fifth day of the month, as I sat in mine house, and the elders of Judah sat before me, that the hand of the Lord GOD fell there upon me:"
9,4,"And the LORD said unto him, Go through the midst of the city, through the midst of Jerusalem, and set a mark upon the foreheads of the men that sigh and that cry for all the abominations that be done in the midst thereof:"
10,5,"And the cherubims were lifted up. This is the living creature that I saw by the river of Chebar."
11,20,"That they may walk in my statutes, and keep mine ordinances, and do them: and they shall be my people, and I will be their God:"
12,2,"Son of man, thou dwellest in the midst of a rebellious house, which have eyes to see, and see not; they have ears to hear, and hear not:"
13,2,"Son of man, prophesy against the prophets of Israel that prophesy, and say thou unto them that prophesy out of their own hearts, Hear ye the word of the LORD;"
14,6,"Therefore say unto the house of Israel, Thus saith the Lord GOD; Repent, and turn yourselves from your idols; and turn away your faces from all your abominations:"
15,8,"And I will make the land desolate, because they have committed a trespass, saith the Lord GOD."
16,49,"Behold, this was the iniquity of thy sister Sodom, pride, fulness of bread, and abundance of idleness was in her and in her daughters, neither did she strengthen the hand of the poor and needy:"
17,19,"Therefore thus saith the Lord GOD; As I live, surely mine oath that he hath despised, and my covenant that he hath broken, even it will I recompense upon his own head."
18,4,"Behold, all souls are mine; as the soul of the father, so also the soul of the son is mine: the soul that sinneth, it shall die."
19,7,"And I will destroy the city and the fullness thereof, saith the Lord GOD."
20,11,"And I gave them my statutes, and shewed them my judgments, which if a man do, he shall even live in them:"
21,2,"Son of man, set thy face toward Jerusalem, and drop thy word toward the holy places, and prophesy against the land of Israel;"
22,29,"The people of the land have used oppression, and exercised robbery, and have vexed the poor and needy: yea, they have oppressed the stranger wrongfully."
23,37,"That they have committed adultery, and blood is in their hands, and with their idols have they committed adultery, and have also borne children to their idols."
24,13,"In thy filthiness is lewdness: because I would have cleansed thee, but thou shalt not be cleansed from thy filthiness any more till I have caused my fury to rest upon thee."
25,6,"For thus saith the Lord GOD; Because thou hast clapped thine hands, and stamped with the feet, and rejoiced in heart with all thy despite against the land of Israel;"
26,15,"Thus saith the Lord GOD to Tyrus; Shall not the isles shake at the sound of thy fall, when the wounded cry, when the slaughter is made in the midst of thee?"
27,3,"And say unto Tyrus, O thou that art situate at the entry of the sea, which art a merchant of the people for many isles, Thus saith the Lord GOD; O Tyrus, thou hast said, I am of perfect beauty."
28,2,"Son of man, say unto the prince of Tyrus, Thus saith the Lord GOD; Because thine heart is lifted up, and thou hast said, I am a God, I sit in the seat of God, in the midst of the seas; yet thou art a man, and not God, though thou set thy heart as the heart of God:"
29,6,"And all the inhabitants of Egypt shall know that I am the LORD, because they have been a staff of reed to the house of Israel."
30,3,"For the day is near, even the day of the LORD is near, a cloudy day; it shall be the time of the heathen."
31,2,"Son of man, say unto Pharaoh king of Egypt, and to all his multitude; Whom art thou like in thy greatness?"
32,7,"And when I shall put thee out, I will cover the heaven, and make the stars thereof dark; I will cover the sun with a cloud, and the moon shall not give her light."
33,11,"Say unto them, As I live, saith the Lord GOD, I have no pleasure in the death of the wicked; but that the wicked turn from his way and live: turn ye, turn ye from your evil ways; for why will ye die, O house of Israel?"
34,10,"Therefore, O ye shepherds, hear the word of the LORD; Thus saith the Lord GOD, Behold, I am against the shepherds; and I will require my flock at their hand, and cause them to cease from feeding the flock; neither shall the shepherds feed themselves any more; for I will deliver my flock from their mouth, that they may not be meat for them."
35,6,"Therefore, as I live, saith the Lord GOD, I will prepare thee unto blood, and blood shall pursue thee: sith thou hast not hated blood, even blood shall pursue thee."
36,23,"And I will sanctify my great name, which was profaned among the heathen, which ye have profaned in the midst of them; and the heathen shall know that I am the LORD, saith the Lord GOD, when I shall be sanctified in you before their eyes."
37,14,"And I will put my spirit in you, and ye shall live, and I will place you in your own land: then shall ye know that I the LORD have spoken it, and performed it, saith the LORD."
38,23,"Thus will I magnify myself, and sanctify myself; and I will be known in the eyes of many nations, and they shall know that I am the LORD."
39,29,"Neither will I hide my face any more from them: for I have poured out my spirit upon the house of Israel, saith the Lord GOD."
40,4,"And the man said unto me, Son of man, behold with thine eyes, and hear with thine ears, and set thine heart upon all that I shall shew thee; for to the intent that I might shew them unto thee art thou brought hither: declare all that thou seest to the house of Israel."
41,22,"The altar of wood was three cubits high, and the length thereof two cubits; and the corners thereof, and the length thereof, and the walls thereof, were of wood: and he said unto me, This is the table that is before the LORD."
42,13,"Then he brought me through the entry, which was at the side of the gate, into the holy chambers of the priests, which looked toward the north: and, behold, there was a place on the one side of their chambers toward the north."
43,5,"So the spirit took me up, and brought me into the inner court; and, behold, the glory of the LORD filled the house."
44,6,"Now it came to pass in the seventh year, in the fifth month, the tenth day of the month, that certain of the elders of Israel came to inquire of the LORD, and sat before me."
45,9,"Thus saith the Lord GOD; Let it suffice you, O princes of Israel: remove violence and spoil, and execute judgment and justice, take away your exactions from my people, saith the Lord GOD."
46,9,"But when the people of the land shall come before the LORD in the solemn feasts, he that entereth in by the way of the north gate to worship shall go out by the way of the south gate; and he that entereth by the way of the south gate shall go forth by the way of the north gate: he shall not return by the way of the gate whereby he came in, but shall go forth over against it."
47,12,"And by the river upon the bank thereof, on this side and on that side, shall grow all trees for meat, whose leaf shall not fade, neither shall the fruit thereof be consumed: it shall bring forth new fruit according to his months, because their waters they issued out of the sanctuary: and the fruit thereof shall be for meat, and the leaf thereof for medicine."
48,35,"It was round about eighteen thousand measures: and the name of the city from that day shall be, The LORD is there."