"1","12","And they that were sent forth were of the Pharisees."
"1","35","And in the morning, rising up a great while before day, he went out, and departed into a solitary place, and there prayed."
"2","11","I say unto thee, Arise, and take up thy bed, and go thy way into thine house."
"3","17","And James the son of Zebedee, and John the brother of James; and he surnamed them Boanerges, which is, The sons of thunder:"
"4","24","And he said unto them, Take heed what ye hear: with what measure ye mete, it shall be measured to you: and unto you that hear shall more be given."
"5","20","And he departed, and began to publish in Decapolis how great things Jesus had done for him: and all men did marvel."
"5","36","As soon as Jesus heard the word that was spoken, he saith unto the ruler of the synagogue, Be not afraid, only believe."
"6","34","And Jesus, when he came out, saw much people, and was moved with compassion toward them, because they were as sheep not having a shepherd: and he began to teach them many things."
"7","37","And were beyond measure astonished, saying, He hath done all things well: he maketh both the deaf to hear, and the dumb to speak."
"8","34","And when he had called the people unto him with his disciples also, he said unto them, Whosoever will come after me, let him deny himself, and take up his cross, and follow me."
"8","35","For whosoever will save his life shall lose it; but whosoever shall lose his life for my sake and the gospel's, the same shall save it."
"9","23","Jesus said unto him, If thou canst believe, all things are possible to him that believeth."
"9","35","And he sat down, and called the twelve, and saith unto them, If any man desire to be first, the same shall be last of all, and servant of all."
"10","27","And Jesus looking upon them saith, With men it is impossible, but not with God: for with God all things are possible."
"10","45","For even the Son of man came not to be ministered unto, but to minister, and to give his life a ransom for many."
"11","22","And Jesus answering saith unto them, Have faith in God."
"12","30","And thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy mind, and with all thy strength: this is the first commandment."
"12","37","David therefore himself calleth him Lord; and whence is he then his son? And the common people heard him gladly."
"13","33","Take ye heed, watch and pray: for ye know not when the time is."
"13","41","And he said unto them, Even so, when ye have seen the abomination of desolation, spoken of by Daniel the prophet, standing where it ought not, (let him that readeth understand,) then let them that be in Judaea flee to the mountains:"
"14","27","And Jesus saith unto them, All ye shall be offended because of me this night: for it is written, I will smite the shepherd, and the sheep shall be scattered."
"14","38","Watch ye and pray, lest ye enter into temptation. The spirit truly is ready, but the flesh is weak."
"15","43","Joseph of Arimathaea, an honourable counsellor, which also waited for the kingdom of God, came, and went in boldly unto Pilate, and craved the body of Jesus."
"16","15","And he said unto them, Go ye into all the world, and preach the gospel to every creature."
"16","17","And these signs shall follow them that believe; In my name shall they cast out devils; they shall speak with new tongues;"