1,1,"And I, brethren, when I came to you, came not with excellency of speech or of wisdom, declaring unto you the testimony of God."
1,2,"For I determined not to know any thing among you, save Jesus Christ, and him crucified."
1,3,"And I was with you in weakness, and in fear, and in much trembling."
1,4,"And my speech and my preaching was not with enticing words of man's wisdom, but in demonstration of the Spirit and of power:"
1,9,"God is faithful, by whom ye were called unto the fellowship of his Son Jesus Christ our Lord."
2,2,"For I determined not to know any thing among you, save Jesus Christ, and him crucified."
2,9,"But as it is written, Eye hath not seen, nor ear heard, neither have entered into the heart of man, the things which God hath prepared for them that love him."
2,12,"Now we have received, not the spirit of the world, but the spirit which is of God; that we might know the things that are freely given to us of God."
3,16,"Know ye not that ye are the temple of God, and that the Spirit of God dwelleth in you?"
4,7,"For who maketh thee to differ from another? and what hast thou that thou didst not receive? now if thou didst receive it, why dost thou glory, as if thou hadst not received it?"
5,6,"Your glorying is not good. Know ye not that a little leaven leaveneth the whole lump?"
6,19,"What? know ye not that your body is the temple of the Holy Ghost which is in you, which ye have of God, and ye are not your own?"
6,20,"For ye are bought with a price: therefore glorify God in your body, and in your spirit, which are God's."
7,24,"Brethren, let every man, wherein he is called, therein abide with God."
8,6,"But to us there is but one God, the Father, of whom are all things, and we in him; and one Lord Jesus Christ, by whom are all things, and we by him."
12,22,"Nay, much more those members of the body, which seem to be more feeble, are necessary:"
13,1,"Though I speak with the tongues of men and of angels, and have not charity, I am become as sounding brass, or a tinkling cymbal."
13,2,"And though I have the gift of prophecy, and understand all mysteries, and all knowledge; and though I have all faith, so that I could remove mountains, and have not charity, I am nothing."
14,33,"For God is not the author of confusion, but of peace, as in all churches of the saints."
14,40,"Let all things be done decently and in order."