"Hebrews",1,3,"Wherefore, holy brethren, partakers of the heavenly calling, consider the Apostle and High Priest of our profession, Christ Jesus;"
"Hebrews",2,1,"Therefore we ought to give the more earnest heed to the things which we have heard, lest at any time we should let them slip."
"Hebrews",2,18,"For in that he himself hath suffered being tempted, he is able to succour them that are tempted."
"Hebrews",3,1,"Wherefore, holy brethren, partakers of the heavenly calling, consider the Apostle and High Priest of our profession, Christ Jesus;"
"Hebrews",4,16,"Let us therefore come boldly unto the throne of grace, that we may obtain mercy, and find grace to help in time of need."
"Hebrews",5,8,"Though he were a Son, yet learned he obedience by the things which he suffered;"
"Hebrews",6,10,"For God is not unrighteous to forget your work and labour of love, which ye have shewed toward his name, in that ye have ministered to the saints, and do minister."
"Hebrews",7,25,"Wherefore he is able also to save them to the uttermost that come unto God by him, seeing he ever liveth to make intercession for them."
"Hebrews",8,6,"But now hath he obtained a more excellent ministry, by how much also he is the mediator of a better covenant, which was established upon better promises."
"Hebrews",9,22,"And almost all things are by the law purged with blood; and without shedding of blood is no remission."
"Hebrews",10,23,"Let us hold fast the profession of our faith without wavering; (for he is faithful that promised;)"
"Hebrews",11,6,"But without faith it is impossible to please him: for he that cometh to God must believe that he is, and that he is a rewarder of them that diligently seek him."
"Hebrews",12,2,"Looking unto Jesus the author and finisher of our faith; who for the joy that was set before him endured the cross, despising the shame, and is set down at the right hand of the throne of God."
"Hebrews",12,14,"Follow peace with all men, and holiness, without which no man shall see the Lord:"
"Hebrews",13,5,"Let your conversation be without covetousness; and be content with such things as ye have: for he hath said, I will never leave thee, nor forsake thee."
"Hebrews",13,8,"Jesus Christ the same yesterday, and to day, and for ever."